Country,ISO code,Period,Year,Sex,Non-standard age groups,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65+,Including consensual unions,Source type,Source,Survey Name,Note on non-standard age groups,Note on country or population,Note on data source
Croatia,191,Around 1995,1991,Men,,0.5,14.6,51.8,73,80.9,85.1,87.3,88.2,88.8,88.3,78.4,,Census,UNSD,,,,
Croatia,191,Around 1995,1991,Women,,5.1,42.9,74.5,84.2,85.2,84.2,81.7,77.7,71.2,61.5,31.7,,Census,UNSD,,,,
Croatia,191,Latest,2001,Men,,0.3,7.6,37.2,64.2,74.1,78.7,81.3,83.9,85.7,85.3,78,,Census,UNSD,,,,
Croatia,191,Latest,2001,Women,,2.4,25.2,59.1,77.4,81.9,81.9,79.8,76.3,70.3,62.2,34.3,,Census,UNSD,,,,
Cuba,192,Around 1970,1970,Men,,4.4,36.1,68.9,79.9,82.4,82.5,81.5,80.5,79.4,76.4,63.9,x,Census,UNSD,,,,
Cuba,192,Around 1970,1970,Women,,28,65.5,79.3,83.2,83.5,82,79.5,75.2,69.5,61.6,39.2,x,Census,UNSD,,,,
Cuba,192,Around 1985,1981,Men,,5.8,36.4,67.5,78.5,82,82.4,81.4,79.9,77.8,75.5,65.7,x,Census,UNSD,,,,
Cuba,192,Around 1985,1981,Women,,24.2,60.8,75.7,79.4,79.7,78.6,77.1,73.6,68.7,61.7,39.4,x,Census,UNSD,,,,
Cuba,192,Latest,2002,Men,,5,30.6,56.7,68.8,72.6,73.6,74.2,74.9,75.1,74,64.4,x,Census,National statistics,,,,
Cuba,192,Latest,2002,Women,,21,55.6,71.3,75.3,74.3,73,70.7,67.2,63,59,38.7,x,Census,National statistics,,,,
Cyprus,196,Around 1970,1973,Men,,0.7,17.5,65.1,91.8,97,96.7,96.7,94.6,94.4,91.8,79.3,,Census,UNSD,,,,
Cyprus,196,Around 1970,1973,Women,,3.8,38.6,73.1,88.6,89,91,88.4,85.1,79,73.4,51.4,,Census,UNSD,,,,
Cyprus,196,Around 1995,1992,Men,,0.6,17.9,58,83,91.7,94.6,95.4,95.7,95.6,94.6,80.6,,Census,UNSD,,,Data pertain to government controlled areas.,
Cyprus,196,Around 1995,1992,Women,,7.4,49.8,78.9,86.2,88,87.8,87.2,85.6,81.6,75.1,48.4,,Census,UNSD,,,Data pertain to government controlled areas.,
Cyprus,196,Around 2005,2001,Men,,0.7,10,46.1,73.2,84.8,90.8,93,93.8,94.4,94.5,82.4,,Census,UNSD,,,Data pertain to government controlled areas.,
Cyprus,196,Around 2005,2001,Women,,2.7,29,66.5,81.1,85.4,85.8,85.8,84.8,82.9,77.7,50,,Census,UNSD,,,Data pertain to government controlled areas.,
Cyprus,196,Latest,2011,Men,,0.6,5.2,28.2,59.7,74.5,80.1,85,87.9,90.1,91,84.4,,Census,National statistics,,,Data pertain to government controlled areas.,
Cyprus,196,Latest,2011,Women,,1.5,14.3,47,70.2,76.9,77.9,80.6,80,80.2,78.1,54.5,,Census,National statistics,,,Data pertain to government controlled areas.,
Czech Republic,203,Around 1970,1970,Men,,1.1,34.8,76.1,85.4,87.8,88.4,88.1,88.4,87.6,85.9,74,,Census,National statistics,,,,
Czech Republic,203,Around 1970,1970,Women,,8.5,65.1,85.4,89,88.2,85.9,82,77.6,70.2,59.3,31,,Census,National statistics,,,,
Czech Republic,203,Around 1985,1980,Men,,1.2,32.1,73,83.1,85.3,86,86.4,86.5,85.9,85.1,73.2,,Census,National statistics,,,,
Czech Republic,203,Around 1985,1980,Women,,8.3,67.4,85.3,87,85.8,84.7,82.1,77.5,69.2,59.5,30.8,,Census,National statistics,,,,
Czech Republic,203,Around 1995,1991,Men,,1.5,32,68,77.5,79.5,80.8,82.2,83.9,84.8,83.8,72.7,,Census,National statistics,,,,
Czech Republic,203,Around 1995,1991,Women,,7.2,61.6,81.7,83.9,82.5,80.8,79,76.8,70.5,60.2,29.5,,Census,National statistics,,,,
Czech Republic,203,Around 2005,2001,Men,,0.2,8.6,40.8,64.7,71.6,73.4,74.9,77.6,80.4,82.4,74.6,,Census,UNSD,,,,
Czech Republic,203,Around 2005,2001,Women,,0.8,21.4,59.9,74.6,76.5,76.1,74.9,73.7,70.1,63.7,32.6,,Census,UNSD,,,,
Czech Republic,203,Latest,2011,Men,,0,2,15.9,42.3,58.5,63.6,65.7,68.6,72.3,76.5,76,,Estimate,UNSD,,,,
Czech Republic,203,Latest,2011,Women,,0.2,6.5,31,56.2,65.1,66.2,67.3,68.7,67.8,64.6,38.7,,Estimate,UNSD,,,,
Democratic People's Republic of  of Korea,408,Latest,2008,Men,,0,1,33.1,86.7,97.7,98.8,99,98.9,98.4,96.7,90.6,,Census,UNSD,,,,
Democratic People's Republic of  of Korea,408,Latest,2008,Women,,0.3,19.1,74.6,93.9,94.1,92.6,90.6,86.6,81.3,62.5,31.2,,Census,UNSD,,,,
Democratic Republic of the Congo,180,Around 1985,1984,Men,,4.5,33,69,83.7,89.2,90,89.8,88.5,87.4,85.2,80.2,x,Census,UNSD,,,,
Democratic Republic of the Congo,180,Around 1985,1984,Women,,31.1,70.2,82.8,85.3,84,80.6,74.3,65.6,55,42.9,25.7,x,Census,UNSD,,,,
Democratic Republic of the Congo,180,Latest,2007,Men,,3.9,26.6,61.9,82.6,92,90.8,92.4,90.3,95.6,,,x,Survey,DHS,Democratic Republic of the Congo 2007 Demographic and Health Survey,,,
Democratic Republic of the Congo,180,Latest,2007,Women,,22.5,65.3,80.4,86.3,85.4,80.7,76.6,,,,,x,Survey,DHS,Democratic Republic of the Congo 2007 Demographic and Health Survey,,,
Denmark,208,Around 1970,1970,Men,,0.4,27.8,69,81.5,84.1,85,84.8,84.5,83.3,81.5,68.6,,Estimate,UNSD,,,,
Denmark,208,Around 1970,1970,Women,,4.6,55,83.1,87.8,87.6,85.5,82.7,78.4,71.8,62.6,37.1,,Estimate,UNSD,,,,
Denmark,208,Around 1985,1985,Men,,0.1,5.1,29.1,55.6,70.6,76,78,78.9,79.5,78.8,69.2,,Estimate,UNSD,,,,
Denmark,208,Around 1985,1985,Women,,0.7,14.4,47.6,68.2,77.2,79,79.2,77.2,72.4,65.2,36,,Estimate,UNSD,,,,
Denmark,208,Around 1995,1995,Men,,1.2,23.6,54.1,68.7,74.4,76.7,79.2,80.4,81,80.6,71.4,x,Estimate,UNSD,,,,
Denmark,208,Around 1995,1995,Women,,5.3,41.7,68.8,78.8,80.8,79.8,79.9,79.1,76.1,69.3,37.9,x,Estimate,UNSD,,,,
Denmark,208,Around 2005,2005,Men,,0,2,14.9,39.9,54.1,59.7,62.6,66.5,71.6,74.2,68.1,,Estimate,UNSD,,,,
Denmark,208,Around 2005,2005,Women,,0.2,5.7,26.8,51.8,61.8,64.5,66.3,68.5,70.1,67.5,39.1,,Estimate,UNSD,,,,
Denmark,208,Latest,2011,Men,,0,1.6,13.5,38.1,53.5,58.7,60.2,62.6,66.4,71.2,69.1,,Estimate,UNSD,,,"Excluding Faeroe Islands and Greenland shown separately, if available.",Population statistics are compiled from registers.
Denmark,208,Latest,2011,Women,,0.1,4.3,23.8,50,60.5,63,62.9,64.9,66.5,67.3,44.4,,Estimate,UNSD,,,"Excluding Faeroe Islands and Greenland shown separately, if available.",Population statistics are compiled from registers.
Djibouti,262,Around 1995,1991,Men,,1.4,9.9,37.1,68.4,85.4,89.4,93.8,90.3,,,,,Survey,National statistics,Djibouti 1991 Intercensal Survey,,,
Djibouti,262,Around 1995,1991,Women,,7.5,26.2,55.5,67.6,80.4,72.6,72.2,54,,,,,Survey,National statistics,Djibouti 1991 Intercensal Survey,,,
Djibouti,262,Latest,2002,Men,x,0,6,30.2,61.1,80.9,89.3,93.8,94,94.7,89.9,93.1,,Survey,PAPFAM,Djibouti 2002 Family Health Survey,Data shown for age group 65+ pertain age group 65-69.,,
Djibouti,262,Latest,2002,Women,x,5.1,24.6,46.8,64.4,76.4,80.7,75.3,69.2,57.8,42.1,37.5,,Survey,PAPFAM,Djibouti 2002 Family Health Survey,Data shown for age group 65+ pertain age group 65-69.,,
Dominica,212,Around 1970,1970,Men,,0.3,4.3,21.3,38.9,50.4,59.4,63.6,68.3,70.8,71.2,63,,Census,US Census Bureau,,,,
Dominica,212,Around 1970,1970,Women,,1,11.2,30.1,42.2,52.1,57.7,54.2,58.4,53.9,48.9,28.9,,Census,US Census Bureau,,,,
Dominica,212,Around 1985,1981,Men,,0.2,1.9,13.9,32.5,45.4,53.4,55.4,62.5,63.5,66.2,65.8,,Census,UNSD,,,,
Dominica,212,Around 1985,1981,Women,,0.4,8.1,26.1,40,46.1,48.3,54.6,52.8,51.8,50.5,36.1,,Census,UNSD,,,,
Dominica,212,Around 1995,1991,Men,,0,1.2,8.3,23,39.2,52.2,57.9,61.3,60.8,64,59.3,,Census,US Census Bureau,,,,
Dominica,212,Around 1995,1991,Women,,0.2,5.3,19.7,36.3,46.3,49.6,53.2,52.7,50,47.9,32.8,,Census,US Census Bureau,,,,
Dominica,212,Latest,2001,Men,,0.2,1,10,21,30.2,40.7,51,61.4,61.9,70,62.2,,Census,UNSD,,,,
Dominica,212,Latest,2001,Women,,0.2,4.7,20.3,31.8,40.4,47.4,53.6,52.2,57.1,50.6,35.6,,Census,UNSD,,,,
Dominican Republic,214,Around 1970,1970,Men,,5.9,23.9,50.6,64.2,69.5,72.4,74.4,74.2,75.8,71.7,65.4,x,Census,UNSD,,,,
Dominican Republic,214,Around 1970,1970,Women,,21.9,59.4,75.9,80.3,80.8,77.4,73.7,66.5,62.1,52.3,36.2,x,Census,UNSD,,,,
Dominican Republic,214,Around 1985,1981,Men,,3.4,23.2,53.7,72.3,79.2,82.1,83.3,82.5,81.6,78,69.9,x,Census,UNSD,,,,
Dominican Republic,214,Around 1985,1981,Women,,17.5,48.2,67,75,77.3,74.7,71.7,65.4,59.5,51.6,32.8,x,Census,UNSD,,,,
Dominican Republic,214,Around 1995,1993,Men,,4.1,28.9,55.4,69.8,77.2,79.6,80.1,80,80.2,77.7,67.1,x,Census,UNSD,,,,
Dominican Republic,214,Around 1995,1993,Women,,19.4,48,63.3,70.1,72.9,71.6,70.7,64.9,60.8,52.8,34.2,x,Census,UNSD,,,,
Dominican Republic,214,Around 2005,2002,Men,,3.9,27.9,57.3,72.6,79.1,81.8,83.3,82.9,82.2,80.6,73.7,x,Census,UNSD,,,,
Dominican Republic,214,Around 2005,2002,Women,,21.4,52.3,72.2,78.3,79.2,76.7,74.7,69.7,64.7,57.4,39.6,x,Census,UNSD,,,,
Dominican Republic,214,Latest,2007,Men,,2.8,23.5,50.4,65.8,73.2,78,78.2,80.1,79.7,,,x,Survey,DHS,Dominican Republic 2007 Demographic and Health Survey,,,
Dominican Republic,214,Latest,2007,Women,,18.9,47.9,65.4,74.6,73.9,72.5,71.1,,,,,x,Survey,DHS,Dominican Republic 2007 Demographic and Health Survey,,,
Ecuador,218,Around 1970,1974,Men,,3.8,33.2,65.5,79.9,83.9,85.3,85.2,83.8,82.8,79.2,70.7,x,Census,UNSD,,,Excluding nomadic Indian tribes.,
Ecuador,218,Around 1970,1974,Women,,18.5,56.2,74.4,80,80.8,78.4,76.1,69.8,65.3,55.7,39.7,x,Census,UNSD,,,Excluding nomadic Indian tribes.,
Ecuador,218,Around 1985,1982,Men,,3.9,33.6,67.4,82.1,86.3,87.4,87.2,86.1,85.4,81.6,73.3,x,Census,UNSD,,,Excluding nomadic Indian tribes.,
Ecuador,218,Around 1985,1982,Women,,18,54.9,74.6,80.5,81.4,79.6,77.3,72.2,68.3,59.8,44,x,Census,UNSD,,,Excluding nomadic Indian tribes.,
Ecuador,218,Around 1995,1990,Men,,4.4,32.8,63.8,80.1,85.7,87.6,87.7,86.2,85.9,83.1,74.8,x,Census,UNSD,,,Excluding nomadic Indian tribes.,
Ecuador,218,Around 1995,1990,Women,,17.4,52.5,72.1,79.3,80.9,79.2,77.4,72.9,69.1,62.1,45.2,x,Census,UNSD,,,Excluding nomadic Indian tribes.,
Ecuador,218,Around 2005,2001,Men,,6.7,36.8,63.1,75.9,81.2,82.6,83.3,82,80.3,77.9,64.7,x,Census,UNSD,,,Excluding nomadic Indian tribes.,
Ecuador,218,Around 2005,2001,Women,,20.6,53,69.4,75.6,76.6,74.8,72.9,69.1,66,60.1,43.6,x,Census,UNSD,,,Excluding nomadic Indian tribes.,
Ecuador,218,Latest,2010,Men,,6.2,35,60.1,72,76.9,77.8,78.8,78.4,78.5,77.1,69.3,x,Census,UNSD,,,,
Ecuador,218,Latest,2010,Women,,20,49.6,65.7,71.7,73.1,71.8,70,66.8,63.8,58.9,42.2,x,Census,UNSD,,,,
Egypt,818,..,1976,Men,x,3.7,19.4,56,82,91.7,93,94.4,93,92.8,89.7,81.1,,Census,UNSD,,Data shown for age group 15-19 pertain to age group 18-19.,Data pertain to nationals of the country.,
Egypt,818,..,1976,Women,x,21.1,59,82.7,87.7,87.6,81,76.8,62.2,61.3,39.3,23,,Census,UNSD,,Data shown for age group 15-19 pertain to age group 16-19.,Data pertain to nationals of the country.,
Egypt,818,Around 1985,1986,Men,x,9.8,18.9,55.2,82.3,92.5,93.1,94.3,92,91.6,88.9,76.4,,Census,UNSD,,Data shown for age group 15-19 pertain to age group 18-19.,Data pertain to nationals of the country.,
Egypt,818,Around 1985,1986,Women,x,20.2,59,83.6,88.7,89.7,84.7,80.4,68.6,62.3,44.9,23.7,,Census,UNSD,,Data shown for age group 15-19 pertain to age group 16-19.,Data pertain to nationals of the country.,
Egypt,818,Around 1995,1996,Men,x,2.1,11.7,48.8,81.5,93.5,96.5,97.2,96.6,95.9,92.2,83.7,,Census,UNSD,,Data shown for age group 15-19 pertain to age group 16-19.,,
Egypt,818,Around 1995,1996,Women,,14.3,55.1,85,91.3,91.4,87.3,81.2,70.2,63,45.6,23,,Census,UNSD,,,,
Egypt,818,Around 2005,2006,Men,x,0.7,11.1,50.2,82.9,93.4,96,96.6,96.3,95.5,91.6,83,,Census,UNSD,,Data shown for age group 15-19 pertain to age group 16-19.,Data pertain to nationals of the country.,
Egypt,818,Around 2005,2006,Women,x,11.4,50.7,82.2,90,91.4,88.2,83.3,73.8,65.9,51.5,25.5,,Census,UNSD,,Data shown for age group 15-19 pertain to age group 16-19.,Data pertain to nationals of the country.,
Egypt,818,Latest,2008,Women,,13.1,52.6,79.8,89.1,89.7,86.6,81.5,,,,,,Survey,DHS,Egypt 2008 Demographic and Health Survey,,,
El Salvador,222,Around 1970,1971,Men,,3.3,32.6,63.8,76.8,81.3,82.8,83.3,81.2,80.2,75.6,65.9,x,Census,UNSD,,,,
El Salvador,222,Around 1970,1971,Women,,20.3,55.6,73.4,77.7,78,73.1,69.1,61,55.9,44.4,28.9,x,Census,UNSD,,,,
El Salvador,222,Around 1985,1985,Women,,23.9,60.1,76.7,79.7,79.6,75.6,68.5,,,,,x,Survey,DHS,El Salvador 1985 Demographic and Health Survey,,,
El Salvador,222,Around 1995,1992,Men,,4.2,33.5,61.2,74.1,80.4,82,82.5,81.2,80.7,75,67.4,x,Census,UNSD,,,,
El Salvador,222,Around 1995,1992,Women,,14.3,45,64.8,71.8,73,69.8,66.7,60.8,56.3,49.2,33,x,Census,UNSD,,,,
El Salvador,222,Around 2005,2002,Women,,19.2,51.5,67.8,78.2,74.7,71.5,66,,,,,x,Survey,DHS,El Salvador 2002-2003 Encuesta Nacional de Salud Familiar,,,
El Salvador,222,Latest,2007,Men,,5.5,32,59.2,73.4,79.2,81,81.7,82.2,82.2,79.9,69.4,x,Census,UNSD,,,,
El Salvador,222,Latest,2007,Women,,16.1,43,60.6,68.2,69.8,68.4,66,61.2,56.3,50.2,34,x,Census,UNSD,,,,
Equatorial Guinea,226,Around 1985,1983,Men,,1.9,20.6,55.7,70.8,75.3,77.8,79.7,80.6,80.8,79.2,75.9,,Census,UNSD,,,,Data were not adjusted for underenumeration.
Equatorial Guinea,226,Around 1985,1983,Women,,25.4,59.5,74.2,78.1,80.7,77.3,70.8,61.4,53.3,39.9,22.9,,Census,UNSD,,,,Data were not adjusted for underenumeration.
Eritrea,232,Around 1995,1995,Men,,1.4,30.4,60.4,84.4,92.5,89.1,94.3,91.8,92.3,,,x,Survey,DHS,Eritrea 1995 Demographic and Health Survey,,,
Eritrea,232,Around 1995,1995,Women,,32.5,69.4,81.5,80.3,80.1,78.4,69.8,,,,,x,Survey,DHS,Eritrea 1995 Demographic and Health Survey,,,
Eritrea,232,Latest,2002,Women,,29,65.3,78.5,81.5,82.9,80.2,71.7,,,,,x,Survey,DHS,Eritrea 2002 Demographic and Health Survey,,,
Estonia,233,Around 1970,1970,Men,x,3.3,24.4,67,80.9,85.2,87.4,87.3,87,85.3,81.3,,,Census,National statistics,,"Data shown for age groups 15-19 and 60-64 pertain to age groups 18-19 and 60-69, respectively.",,
Estonia,233,Around 1970,1970,Women,x,11.5,48.9,74.8,80.1,79.5,76.1,70.6,60.7,50.8,36.5,,,Census,National statistics,,"Data shown for age groups 15-19 and 60-64 pertain to age groups 18-19 and 60-69, respectively.",,
Estonia,233,..,1979,Men,x,2.6,35.1,71.8,79.6,81.2,82.9,84,85.2,84.8,83.5,80.6,,Census,National statistics,,"Data shown for age groups 15-19 and 65+ pertain to age groups 16-19 and 65-69, respectively.",,
Estonia,233,..,1979,Women,x,8.7,55.6,76.6,78.9,77.2,75.4,72.1,66.3,57.6,45,34.4,,Census,National statistics,,"Data shown for age groups 15-19 and 65+ pertain to age groups 16-19 and 65-69, respectively.",,
Estonia,233,Around 1985,1989,Men,x,2.5,33.6,71.4,79,79.8,79.2,79.3,79.9,81.5,81.8,73,,Census,US Census Bureau,,Data shown for age group 15-19 pertain to age group 16-19.,,
Estonia,233,Around 1985,1989,Women,x,9.1,56.1,75.6,77.8,76.5,73.8,70,67.1,61.4,52,24.3,,Census,US Census Bureau,,Data shown for age group 15-19 pertain to age group 16-19.,,
Estonia,233,Latest,2000,Men,,0.9,19.8,51.6,66.7,72.1,73,72.6,73,72.7,73.5,69,x,Census,UNSD,,,,
Estonia,233,Latest,2000,Women,,4.3,36.1,59.1,65.4,66.9,64.7,62.9,60,54.9,49.6,27.2,x,Census,UNSD,,,,
Ethiopia,231,..,1981,Men,,6.8,38.4,74.5,88.3,95.3,94.3,93.3,95.1,,,,,Survey,National statistics,Ethiopia 1981 Demographic Survey,,,
Ethiopia,231,..,1981,Women,,52.4,88,94.4,94.3,94.2,89.6,78.4,64,,,,,Survey,National statistics,Ethiopia 1981 Demographic Survey,,,
Ethiopia,231,Around 1985,1984,Men,,5.2,42.9,79.3,91.1,94.3,94.6,94.9,94.4,93.9,92.8,88.4,,Census,UNSD,,,,
Ethiopia,231,Around 1985,1984,Women,,53.1,84,89.4,87.7,86.1,76.3,69.3,57,47.5,32.1,22.2,,Census,UNSD,,,,
Ethiopia,231,Around 1995,1994,Men,,4,26.6,62.6,81.6,89.7,92.1,93.4,92.6,92.8,90.7,85.6,,Census,UNSD,,,,
Ethiopia,231,Around 1995,1994,Women,,26.1,63,80.1,83.7,83.6,77.8,73,62,56.2,42.2,25.8,,Census,UNSD,,,,
Ethiopia,231,Around 2005,2007,Men,,8.2,30.8,65.3,83.2,90,92.1,93.4,92.8,92.8,91.5,85.2,x,Census,UNSD,,,,
Ethiopia,231,Around 2005,2007,Women,,28.7,66.6,81.3,83.5,82.6,76.4,72.4,63.5,59.1,46.8,31.3,x,Census,UNSD,,,,
Ethiopia,231,Latest,2011,Men,,2.2,25.2,64.4,85.9,92,94.7,93.7,95.8,95,,,x,Survey,DHS,Ethiopia 2011 Demographic and Health Survey,,,
Ethiopia,231,Latest,2011,Women,,19.1,60.1,79.8,83.7,83,82,75.7,,,,,x,Survey,DHS,Ethiopia 2011 Demographic and Health Survey,,,
Faeroe Islands,234,Around 1970,1966,Men,,0.6,20.6,59.1,72.4,79,79.9,82.1,80.3,81.2,77.6,62.7,,Census,UNSD,,,,
Faeroe Islands,234,Around 1970,1966,Women,,5.4,55,85.7,89.7,90.3,88.6,83,82,74.5,61.4,43.7,,Census,UNSD,,,,
Faeroe Islands,234,..,1977,Men,,0.2,11.9,46.5,70.8,76,79.6,79.2,80,78.4,79.1,65.6,,Census,UNSD,,,,
Faeroe Islands,234,..,1977,Women,,2.6,36.8,77.2,89.4,90.8,90,87.4,84.8,74.7,69.7,42.3,,Census,UNSD,,,,
Faeroe Islands,234,Around 1995,1991,Men,,0,6.2,26.8,53.4,65.3,71.3,76.6,75.6,77.6,76.6,69,,Estimate,UNSD,,,,
Faeroe Islands,234,Around 1995,1991,Women,,0.9,17.8,48.8,72.7,77.8,85.6,84.6,84.1,77.5,73.7,43,,Estimate,UNSD,,,,
Faeroe Islands,234,Around 2005,2001,Men,,0,3.6,18.7,41.4,56.4,66.3,69.7,73,77.4,76.2,69.5,,Estimate,National statistics,,,,Population statistics are compiled from registers.
Faeroe Islands,234,Around 2005,2001,Women,,0.5,12.7,39.2,59,70.7,78.4,79.1,80.9,80.6,75.8,42.3,,Estimate,National statistics,,,,Population statistics are compiled from registers.
Faeroe Islands,234,Latest,2008,Men,,0,2.6,15.3,35,51.6,60.9,64.4,69.9,69.1,74.9,69.4,,Estimate,UNSD,,,,
Faeroe Islands,234,Latest,2008,Women,,0.2,8.6,32.6,55.1,64.1,70.9,76,75,75.5,75.3,45.4,,Estimate,UNSD,,,,
Falkland Islands (Malvinas),238,..,1962,Men,x,,30.2,,67.9,,69.4,,71.5,,59,,,Census,UNSD,,"Data pertain to age groups 20-29, 30-39, 40-49, 50-59 and 60-69.",,
Falkland Islands (Malvinas),238,..,1962,Women,x,,77.6,,92.9,,88.3,,72.3,,53,,,Census,UNSD,,"Data pertain to age groups 20-29, 30-39, 40-49, 50-59 and 60-69.",,
Falkland Islands (Malvinas),238,Around 1985,1986,Men,x,,26.4,,69.9,,71.5,,75.7,,60.5,,,Census,UNSD,,"Data pertain to age groups 20-29, 30-39, 40-49, 50-59 and 60-69.",,
Falkland Islands (Malvinas),238,Around 1985,1986,Women,x,,60.7,,79.4,,82.2,,73.2,,62.5,,,Census,UNSD,,"Data pertain to age groups 20-29, 30-39, 40-49, 50-59 and 60-69.",,
Fiji,242,..,1976,Men,,2.4,33.8,73.1,87.8,91.8,93.6,93.5,91.6,88.6,84.7,71.6,,Census,UNSD,,,,
Fiji,242,..,1976,Women,,13.3,60.4,82.6,89.3,89.1,87,82.2,74.5,65.6,52.4,29.4,,Census,UNSD,,,,
Fiji,242,Around 1985,1986,Men,,2.3,28.7,69.9,86.3,90.6,92.6,93.1,92.1,89.9,86.3,74.6,,Census,UNSD,,,,
Fiji,242,Around 1985,1986,Women,,12.8,56.2,79.5,86.6,87.9,86.9,83,76.1,68,58.2,35.8,,Census,UNSD,,,,
Fiji,242,Around 1995,1996,Men,,1.7,22.2,63.6,83.4,88.9,91.6,91.6,90.7,87.8,84.3,70.4,,Census,UNSD,,,,
Fiji,242,Around 1995,1996,Women,,10,52.4,78.8,85.6,86.7,85.8,81.9,76.5,67.8,59.2,34.9,,Census,UNSD,,,,
Finland,246,Around 1970,1970,Men,,1,27.9,66.4,77.7,80.7,81.3,83.1,85,83.7,81.2,68.9,,Census,UNSD,,,Including Aland Islands.,
Finland,246,Around 1970,1970,Women,,5.3,46.6,74.8,81.4,81.7,79.6,75.6,69.8,61.2,51.1,27.7,,Census,UNSD,,,Including Aland Islands.,
Finland,246,Around 1985,1980,Men,,0.3,13.8,49.5,69.2,76,77.1,78.1,78.3,80.1,81.3,71.2,,Census,UNSD,,,Including Aland Islands.,
Finland,246,Around 1985,1980,Women,,2.2,30.1,63.8,75.9,78.2,77.6,75.2,71.3,64.3,54.8,29,,Census,UNSD,,,Including Aland Islands.,
Finland,246,Around 1995,1990,Men,,0.1,6.8,31.4,53.7,64.1,69.7,72.8,73.4,75.1,75.7,70.7,,Census,National statistics,,,,
Finland,246,Around 1995,1990,Women,,0.8,15.4,45.8,64.4,70.5,72.1,71.9,70.1,66.2,59.8,30.9,,Census,National statistics,,,,
Finland,246,Around 2005,2000,Men,,0.1,4.5,21.9,41.7,51.5,56.5,60.5,65.3,69.8,71.8,69.6,,Census,UNSD,,,,
Finland,246,Around 2005,2000,Women,,0.5,9.9,33.5,51.4,58.5,61.6,63.4,65.1,65,62,35.1,,Census,UNSD,,,,
Finland,246,Latest,2010,Men,,0.1,4,18.8,39.9,50.9,53.3,54.4,56.6,59.9,65.5,68,,Census,UNSD,,,,
Finland,246,Latest,2010,Women,,0.5,8.3,29.5,50.2,57.3,57.1,56.9,58.4,59.6,60.1,40.3,,Census,UNSD,,,,
France,250,Around 1970,1970,Men,,0.8,30.8,70.9,80,83.1,84.3,85.2,85.3,83.6,81.5,71.8,,Estimate,UNSD,,,,
France,250,Around 1970,1970,Women,,6.2,53.3,81.5,86.4,86.5,84.8,81.6,76.5,70.4,61.7,33,,Estimate,UNSD,,,,
France,250,Around 1985,1985,Men,,0.2,15.7,55.2,74.4,81.1,83.4,83.8,83.6,83.4,83.5,72.6,,Estimate,UNSD,,,,
France,250,Around 1985,1985,Women,,2.1,34,68.1,77.8,81.1,81.9,81.9,78.7,73.4,65.8,33.6,,Estimate,UNSD,,,,
France,250,Around 1995,1999,Men,,0.2,2.2,19.3,45.7,58.9,67.1,72.7,76.9,79.8,80.6,76,,Census,UNSD,,,,
France,250,Around 1995,1999,Women,,0.5,6.6,32.1,54.5,63.8,68.8,71,72.5,72.5,69.8,41.9,,Census,UNSD,,,,
France,250,Around 2005,2005,Men,,0.2,3.3,19.9,42.7,54.4,61.2,66.5,71.5,75.8,78.6,75.2,,Estimate,UNSD,,,,
France,250,Around 2005,2005,Women,,0.8,8.8,31.4,50.5,58.5,62.9,66,68,68.6,67.1,42,,Estimate,UNSD,,,,
France,250,Latest,2009,Men,,0,2.4,16.6,38.1,50.4,57.1,61.7,66.8,72,75.9,74.4,,Estimate,UNSD,,,,Provisional data.
France,250,Latest,2009,Women,,0.4,6.7,27.3,46.3,54.7,59,61.9,64.8,66.1,65.7,42.1,,Estimate,UNSD,,,,Provisional data.
French Guiana,254,Around 1970,1967,Men,,0.4,5.5,26.1,36.5,40,47.1,41.6,45.4,42.2,45.1,37.4,,Census,UNSD,,,,
French Guiana,254,Around 1970,1967,Women,,3,24.4,40.1,44.8,45,43.4,42.4,39.9,41.3,34.6,21.6,,Census,UNSD,,,,
French Guiana,254,Around 1985,1982,Men,,0.6,4.2,20.3,37.3,46.3,50.6,53.5,50.9,53.9,48.9,43.6,,Census,UNSD,,,,
French Guiana,254,Around 1985,1982,Women,,2.1,15.2,33.3,42.7,49.4,47.6,49.6,46.9,44.9,39.6,26.9,,Census,UNSD,,,,
French Guiana,254,..,1990,Men,x,0.1,3.2,13.8,27.3,39.6,45.2,48,48.5,49.8,44.8,,,Census,UNSD,,Data shown for age group 60-64 pertain to age group 60-74.,,
French Guiana,254,..,1990,Women,x,1.1,8.6,23,34.1,41.7,43.9,45.3,42.8,40.4,31,,,Census,UNSD,,Data shown for age group 60-64 pertain to age group 60-74.,,
French Guiana,254,Around 1995,1999,Men,,0,1.3,11.4,26.6,36.2,41.2,46.1,50.5,49.7,48,44.7,,Census,UNSD,,,,
French Guiana,254,Around 1995,1999,Women,,0.8,6.4,20.5,29.8,37.8,39.3,41.5,45.1,42.1,38.6,25.2,,Census,UNSD,,,,
French Guiana,254,Latest,2006,Men,,0.3,3.9,13,25.2,32.1,38.1,42.3,49.4,51.1,49.2,44.3,,Census,UNSD,,,,
French Guiana,254,Latest,2006,Women,,1.4,6.8,16.6,27.5,31.3,36.7,39.8,41.9,41.3,35.8,24,,Census,UNSD,,,,
French Polynesia,258,..,1977,Men,,1,12.4,40.7,58.3,65,69.5,71.1,70.9,67.5,64.1,48.8,,Census,US Census Bureau,,,,
